theta1,theta2,omega1,omega2,alpha1,alpha2
-0.15320086056533921,-0.2834217298065829,-2.98051034324667,0.5426816744649592,-0.5949194773611672,4.727977533991046
-0.2128078206289476,-0.27179302582773907,-2.9739920433651776,0.6115346758355718,1.2663356001219073,2.1265785106941855
-0.2719071263448605,-0.2593153282116533,-2.929639094101834,0.6274259450484623,3.1595816251769175,-0.5217341610844611
-0.32974736418742423,-0.24703859814097356,-2.848551513052688,0.5921942276143255,4.912665923029863,-2.9426907218426304
-0.3856318296890478,-0.23592401908855867,-2.7349708953875225,0.512671536305765,6.392350135674535,-4.924320763074031
-0.4389706196377588,-0.22676100753398068,-2.5950903872921316,0.3988219538530374,7.539295011592354,-6.369279555356214
-0.4893045142974093,-0.22012807155302136,-2.43555053749274,0.26140626839048997,8.364795701290047,-7.290395757692477
-0.5363014292138104,-0.2163965060034892,-2.2622806997013134,0.11015383122834355,8.923329897164868,-7.770014707248227
-0.5797356330278065,-0.21576181302637462,-2.0799409584707984,-0.04716963068170579,9.283120675840468,-7.915725112146482
-0.6194610982589723,-0.2182857469682351,-1.8918595462498031,-0.2049406460261252,9.506955205742106,-7.830704632004944
-0.6553866440467594,-0.2239371545739384,-1.7002375539537267,-0.3594330688877124,9.644167603581984,-7.600387508873963
-0.6874562217431794,-0.2326260748458825,-1.506434641700491,-0.5084246579292885,9.729794667586777,-7.28986098241943
-0.7156348174593574,-0.24422986026407723,-1.3112344570759449,-0.6508091618425165,9.786900442749877,-6.946220440047768
-0.7398991232045794,-0.25861214164946306,-1.1150537167642782,-0.7862730823121454,9.82960376151878,-6.602263103586167
-0.7602318017914811,-0.2756360594047563,-0.9180938957181601,-0.9150443710185597,9.865683277877574,-6.279821974065485
-0.7766183145668728,-0.29517307663780945,-0.720448419386152,-1.0376987950282832,9.898399997215588,-5.992157531342594
-0.7890455834277121,-0.31710832858082183,-0.5221815971344699,-1.1550037725119646,9.92750890490995,-5.745318043582836
